source_label	target_id	baseline	budget	rep	success	trigger_time_s	terminal_count	first_reach_time_s	first_reach_count	first_trigger_time_s	latest_reached	latest_triggered	reached_without_trigger_count	post_reach_observation_time_s	zero_trigger_reached_snapshots	empirical_trigger_rate_per_reach	rule_of_three_trigger_rate_95_upper_bound	pretrigger_binary_flat	pretrigger_binary_reason	reach_to_trigger_gap_s	live_snapshot	run_record
same_runner	PHP003	aflplusplus_cmplog	600	1	false	NA	0	90.0	2905	NA	24946	0	24946	507.0	12	0.0	0.00012025976108394131	true	first_reach_snapshot_has_R_without_T	NA	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php003_native_b4_thumbnail_length_hook_candidate_validated_short_600s_1rep_baselines/runs/aflplusplus_cmplog_600s/run_record.json
same_runner	PHP003	aflplusplus_vanilla	600	1	true	180.0	31	90.0	239	180.0	2518	31	2487	90.0	3	0.012311358220810167	NA	true	first_reach_snapshot_has_R_without_T	90.0	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php003_native_b4_thumbnail_length_hook_candidate_validated_short_600s_1rep_baselines/runs/aflplusplus_vanilla_600s/run_record.json
same_runner	PHP003	redqueen_operand	600	1	true	330.0	11	90.0	2904	330.0	24944	11	24933	240.0	8	0.000440987812700449	NA	true	first_reach_snapshot_has_R_without_T	240.0	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php003_native_b4_thumbnail_length_hook_candidate_validated_short_600s_1rep_baselines/runs/redqueen_operand_600s/run_record.json
