suite,run,status,reasons,run_time,execs_done,execs_per_sec,reached,terminal_triggered,first_terminal_time_s,first_terminal_time_kind,first_terminal_execs,queued_progress,accepted_non_trigger,saved_non_trigger,saved_triggered,spec_lifted,heuristic_lifted,manual_lifted,experiment_ready,pretrigger_lift_guidance_ready,non_trigger_candidate_lift_delta,lift_delta_only_on_triggered,binding_signal_status,binding_signal_diagnosis,out_dir
"LIBARCHIVE_2936_matched_7200s","formtrig_rep1","pass","ok",7207,161406,22.40,39964,10,"1.358","afl_crash_filename_exact","32",5,5,5,0,4127,0,0,"true","true","true","false","pass","role_signal_progress_observed","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/formtrig_rep1/fuzzer_out/default"
"LIBARCHIVE_2936_matched_7200s","formtrig_rep2","pass","ok",7200,113983,15.83,30850,23,"2.32","afl_crash_filename_exact","32",5,5,5,0,4108,0,0,"true","true","true","false","pass","role_signal_progress_observed","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/formtrig_rep2/fuzzer_out/default"
"LIBARCHIVE_2936_matched_7200s","formtrig_rep3","pass","ok",7203,138053,19.16,32418,46,"1.494","afl_crash_filename_exact","32",6,6,6,0,4118,0,0,"true","true","true","false","pass","role_signal_progress_observed","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/libarchive_2936_matched_7200s_3rep_20260617T070307Z/runs/formtrig_rep3/fuzzer_out/default"
