source_label	target_id	baseline	budget	rep	success	trigger_time_s	terminal_count	first_reach_time_s	first_reach_count	first_trigger_time_s	latest_reached	latest_triggered	reached_without_trigger_count	post_reach_observation_time_s	zero_trigger_reached_snapshots	empirical_trigger_rate_per_reach	rule_of_three_trigger_rate_95_upper_bound	pretrigger_binary_flat	pretrigger_binary_reason	reach_to_trigger_gap_s	live_snapshot	run_record
aflpp_family_7200s_3rep	TIF012	aflplusplus_cmplog	7200	1	false	NA	0	60.0	1	NA	1395259	0	1395259	7137.0	240	0.0	2.15013843307945e-06	true	first_reach_snapshot_has_R_without_T	NA	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_cmplog_7200s_rep1/run_record.json
aflpp_family_7200s_3rep	TIF012	aflplusplus_cmplog	7200	2	false	NA	0	60.0	1	NA	1379967	0	1379967	7137.0	239	0.0	2.1739650295985338e-06	true	first_reach_snapshot_has_R_without_T	NA	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_cmplog_7200s_rep2/run_record.json
aflpp_family_7200s_3rep	TIF012	aflplusplus_cmplog	7200	3	true	4950.0	7615	60.0	1	4950.0	1430122	7615	1422507	4890.0	152	0.005324720548316857	NA	true	first_reach_snapshot_has_R_without_T	4890.0	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_cmplog_7200s_rep3/run_record.json
aflpp_family_7200s_3rep	TIF012	aflplusplus_vanilla	7200	1	true	930.0	28536	60.0	1	930.0	631531	28536	602995	870.0	29	0.04518543032725234	NA	true	first_reach_snapshot_has_R_without_T	870.0	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_vanilla_7200s_rep1/run_record.json
aflpp_family_7200s_3rep	TIF012	aflplusplus_vanilla	7200	2	true	1410.0	9978	60.0	1	1410.0	986404	9978	976426	1350.0	45	0.010115530756160762	NA	true	first_reach_snapshot_has_R_without_T	1350.0	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_vanilla_7200s_rep2/run_record.json
aflpp_family_7200s_3rep	TIF012	aflplusplus_vanilla	7200	3	true	1560.0	84706	60.0	1	1560.0	860992	84706	776286	1500.0	50	0.09838186649817884	NA	true	first_reach_snapshot_has_R_without_T	1500.0	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_vanilla_7200s_rep3/run_record.json
aflpp_family_7200s_3rep	TIF012	redqueen_operand	7200	1	true	6540.0	4170	60.0	1	6540.0	1665603	4170	1661433	6480.0	215	0.0025035977961134796	NA	true	first_reach_snapshot_has_R_without_T	6480.0	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/redqueen_operand_7200s_rep1/run_record.json
aflpp_family_7200s_3rep	TIF012	redqueen_operand	7200	2	false	NA	0	60.0	1	NA	1158381	0	1158381	7137.0	240	0.0	2.589821483605135e-06	true	first_reach_snapshot_has_R_without_T	NA	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/redqueen_operand_7200s_rep2/run_record.json
aflpp_family_7200s_3rep	TIF012	redqueen_operand	7200	3	true	210.0	3841	60.0	1	210.0	1812906	3841	1809065	150.0	5	0.002118697825480196	NA	true	first_reach_snapshot_has_R_without_T	150.0	false	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/redqueen_operand_7200s_rep3/run_record.json
