arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	trigger_execs	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	formtrig_600s	PHP003	600	600		true	21024	1.985	formtrig_progress_queue_filename_exact	123	190828		52269	1	1	8721	0	0	true	pass	artifacts/formtrig_native_readiness/raw/php003_native_b4_thumbnail_length_hook_candidate_validated_short_600s_1rep_formtrig/batch_summary.csv
baseline	same_runner	PHP003	600	597	1	false	0				73384	122.91	24946						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php003_native_b4_thumbnail_length_hook_candidate_validated_short_600s_1rep_baselines/runs/aflplusplus_cmplog_600s/run_record.json
baseline	same_runner	PHP003	600	597	1	true	31	180	magma_monitor_upper_bound		72343	121.17	2518						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php003_native_b4_thumbnail_length_hook_candidate_validated_short_600s_1rep_baselines/runs/aflplusplus_vanilla_600s/run_record.json
baseline	same_runner	PHP003	600	597	1	true	11	330	magma_monitor_upper_bound		73450	123.01	24944						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php003_native_b4_thumbnail_length_hook_candidate_validated_short_600s_1rep_baselines/runs/redqueen_operand_600s/run_record.json
