suite,run,status,reasons,run_time,execs_done,execs_per_sec,reached,terminal_triggered,first_terminal_time_s,first_terminal_time_kind,first_terminal_execs,queued_progress,accepted_non_trigger,saved_non_trigger,saved_triggered,spec_lifted,heuristic_lifted,manual_lifted,experiment_ready,pretrigger_lift_guidance_ready,non_trigger_candidate_lift_delta,lift_delta_only_on_triggered,binding_signal_status,binding_signal_diagnosis,out_dir
"TIF012_b5_current_120s_3rep","rep1","fail","no_non_trigger_lift_delta;lift_delta_only_on_triggered",120,34175,284.78,19422,10870,"0","formtrig_stats_monitor_upper_bound","",1216,6,6,1210,6245,0,0,"true","true","false","true","pass","triggered","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_formtrig_120s_3rep_20260616/001_TIF012/out/default"
"TIF012_b5_current_120s_3rep","rep2","pass","ok",120,49100,409.01,19919,7971,"0","formtrig_stats_monitor_upper_bound","",895,8,8,887,5615,0,0,"true","true","true","false","pass","triggered","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_formtrig_120s_3rep_20260616/002_TIF012/out/default"
"TIF012_b5_current_120s_3rep","rep3","pass","ok",120,59682,497.33,20142,4604,"0","formtrig_stats_monitor_upper_bound","",515,3,3,512,4616,0,0,"true","true","true","false","pass","triggered","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_formtrig_120s_3rep_20260616/003_TIF012/out/default"
