arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	trigger_execs	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	formtrig_600s_1rep	PHP003	600	600		false	0				205673		121014	6	6	4203	0	0	true	pass	artifacts/formtrig_native_readiness/raw/php003_validated_short_600s_1rep_formtrig/batch_summary.csv
baseline	aflpp_family_600s_1rep	PHP003	600	597	1	false	0				78426	131.34	29955						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php003_validated_short_600s_1rep_baselines_r2/runs/aflplusplus_cmplog_600s/run_record.json
baseline	aflpp_family_600s_1rep	PHP003	600	597	1	false	0				77882	130.38	10711						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php003_validated_short_600s_1rep_baselines_r2/runs/aflplusplus_vanilla_600s/run_record.json
baseline	aflpp_family_600s_1rep	PHP003	600	597	1	false	0				78515	131.49	7816						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php003_validated_short_600s_1rep_baselines_r2/runs/redqueen_operand_600s/run_record.json
