"suite","run","status","reasons","run_time","execs_done","execs_per_sec","reached","terminal_triggered","first_terminal_time_s","first_terminal_time_kind","first_terminal_execs","queued_progress","accepted_non_trigger","saved_non_trigger","saved_triggered","spec_lifted","heuristic_lifted","manual_lifted","experiment_ready","pretrigger_lift_guidance_ready","non_trigger_candidate_lift_delta","lift_delta_only_on_triggered","binding_signal_status","binding_signal_diagnosis","out_dir"
"TIF012_b5_matched_7200s_3rep","rep1","fail","no_non_trigger_lift_delta;lift_delta_only_on_triggered","7200","2749423","381.86","1647188","1379546","0.035","formtrig_progress_queue_filename_exact","146","","8","8","","165507","0","0","true","true","false","true","pass","triggered","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/formtrig/001_TIF012/out/default"
"TIF012_b5_matched_7200s_3rep","rep2","pass","ok","7200","3993820","554.69","1893870","1234445","0.036","formtrig_progress_queue_filename_exact","146","","15","15","","149750","0","0","true","true","true","false","pass","triggered","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/formtrig/002_TIF012/out/default"
"TIF012_b5_matched_7200s_3rep","rep3","fail","no_non_trigger_lift_delta;lift_delta_only_on_triggered","7200","3947580","548.27","2518098","2045147","0.034","formtrig_progress_queue_filename_exact","146","","12","12","","239540","0","0","true","true","false","true","pass","triggered","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/formtrig/003_TIF012/out/default"
