target_id,project,program,canary_expression,primary_tc_category,secondary_tc_category,target_location,trigger_oracle,initial_corpus,build_command,run_command,sanitizer_mode,notes
T1_NUMERIC_ACTIONABLE,fresh_v4_cases,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases,byte0 >= 200,numeric-margin,,benchmarks/fresh_v4_cases/fresh_v4_cases.c:57#run_numeric_actionable,JSON triggered == true,/home/cwh/FORMTRIG/artifacts/rnt_corpus/T1_NUMERIC_ACTIONABLE/seeds,gcc -O2 -Wall -Wextra -Werror -o /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases.c,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases numeric @@,none,fresh_v4_preflight_v2_semantic_gate
T2_EQUALITY_DIRECT_ANYOF,fresh_v4_cases,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases,tag == 'A' || tag == 'B',equality/magic,,benchmarks/fresh_v4_cases/fresh_v4_cases.c:73#run_equality_direct_anyof,JSON triggered == true,/home/cwh/FORMTRIG/artifacts/rnt_corpus/T2_EQUALITY_DIRECT_ANYOF/seeds,gcc -O2 -Wall -Wextra -Werror -o /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases.c,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases anyof @@,none,fresh_v4_preflight_v2_semantic_gate
T3_EQUALITY_TRANSFORMED,fresh_v4_cases,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases,"hdr == ""TX"" && checksum4(payload) == 0xc7",equality/magic,,benchmarks/fresh_v4_cases/fresh_v4_cases.c:94#run_equality_transformed,JSON triggered == true,/home/cwh/FORMTRIG/artifacts/rnt_corpus/T3_EQUALITY_TRANSFORMED/seeds,gcc -O2 -Wall -Wextra -Werror -o /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases.c,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases transformed @@,none,fresh_v4_preflight_v2_semantic_gate
T4_BINARY_NULL_LIFT,fresh_v4_cases,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases,ctx.obj == NULL,binary-state-null,,benchmarks/fresh_v4_cases/fresh_v4_cases.c:116#run_binary_null_lift,JSON triggered == true,/home/cwh/FORMTRIG/artifacts/rnt_corpus/T4_BINARY_NULL_LIFT/seeds,gcc -O2 -Wall -Wextra -Werror -o /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases.c,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases null @@,none,fresh_v4_preflight_v2_semantic_gate
T5_GUARDED_BINARY,fresh_v4_cases,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases,hdr == 'G' && ctx.obj == NULL,binary-state-null,,benchmarks/fresh_v4_cases/fresh_v4_cases.c:139#run_guarded_binary,JSON triggered == true,/home/cwh/FORMTRIG/artifacts/rnt_corpus/T5_GUARDED_BINARY/seeds,gcc -O2 -Wall -Wextra -Werror -o /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases.c,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases guarded @@,none,fresh_v4_preflight_v2_semantic_gate
T6_SAME_OBJECT_LIFECYCLE,fresh_v4_cases,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases,create(obj) before release(obj) before use(obj) && SAME_OBJECT(obj),compound-sequence-lifecycle,,benchmarks/fresh_v4_cases/fresh_v4_cases.c:162#run_same_object_lifecycle,JSON triggered == true,/home/cwh/FORMTRIG/artifacts/rnt_corpus/T6_SAME_OBJECT_LIFECYCLE/seeds,gcc -O2 -Wall -Wextra -Werror -o /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases /home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases.c,/home/cwh/FORMTRIG/benchmarks/fresh_v4_cases/fresh_v4_cases lifecycle @@,none,fresh_v4_preflight_v2_semantic_gate
