suite,run,status,reasons,run_time,execs_done,execs_per_sec,reached,terminal_triggered,first_terminal_time_s,first_terminal_time_kind,first_terminal_execs,queued_progress,accepted_non_trigger,saved_non_trigger,saved_triggered,spec_lifted,heuristic_lifted,manual_lifted,experiment_ready,pretrigger_lift_guidance_ready,non_trigger_candidate_lift_delta,lift_delta_only_on_triggered,binding_signal_status,binding_signal_diagnosis,out_dir
"PDF003_matched_7200s_3rep","rep1","fail","no_accepted_non_trigger_progress;no_saved_non_trigger_progress",7200,33540,4.66,13492,7693,"2","formtrig_stats_monitor_upper_bound","",858,0,0,858,3758,0,0,"true","true","true","false","pass","triggered","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig/001_PDF003/out/default"
"PDF003_matched_7200s_3rep","rep2","fail","no_accepted_non_trigger_progress;no_saved_non_trigger_progress",7200,33841,4.70,18868,7246,"2","formtrig_stats_monitor_upper_bound","",806,0,0,806,4563,0,0,"true","true","true","false","pass","triggered","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig/002_PDF003/out/default"
"PDF003_matched_7200s_3rep","rep3","fail","no_accepted_non_trigger_progress;no_saved_non_trigger_progress",7201,29732,4.13,14680,6607,"2","formtrig_stats_monitor_upper_bound","",736,0,0,736,4621,0,0,"true","true","true","false","pass","triggered","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig/003_PDF003/out/default"
