manifest,target_id,status,experiment_ready,pretrigger_lift_guidance_ready,diagnosis,progress_status,has_non_trigger_progress,non_trigger_progress,saved_non_trigger_progress,saved_triggered_progress,execs_done,reached,triggered,queued_progress,spec_lifted,heuristic_lifted,manual_lifted,d_f_constant,out_dir,log
"/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/manifests/PDF003.native_draft_magma_canary.600s.manifest","PDF003","ok","true","true","triggered","triggered","false",0,0,858,33540,13492,7693,858,3758,0,0,"false","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig/001_PDF003/out","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig/001_PDF003/batch_run.log"
"/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/manifests/PDF003.native_draft_magma_canary.600s.manifest","PDF003","ok","true","true","triggered","triggered","false",0,0,806,33841,18868,7246,806,4563,0,0,"false","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig/002_PDF003/out","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig/002_PDF003/batch_run.log"
"/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/manifests/PDF003.native_draft_magma_canary.600s.manifest","PDF003","ok","true","true","triggered","triggered","false",0,0,736,29732,14680,6607,736,4621,0,0,"false","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig/003_PDF003/out","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/pdf003_matched_7200s_3rep_20260617T224500Z/formtrig/003_PDF003/batch_run.log"
