source_label	target_id	baseline	budget	rep	success	trigger_time_s	terminal_count	first_reach_time_s	first_reach_count	first_trigger_time_s	latest_reached	latest_triggered	pretrigger_binary_flat	pretrigger_binary_reason	reach_to_trigger_gap_s	run_record
tif012_b5_7200s	TIF012	aflplusplus_cmplog	7200	1	false		0	60.0	1		1395259	0	true	first_reach_snapshot_has_R_without_T		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_cmplog_7200s_rep1/run_record.json
tif012_b5_7200s	TIF012	aflplusplus_cmplog	7200	2	false		0	60.0	1		1379967	0	true	first_reach_snapshot_has_R_without_T		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_cmplog_7200s_rep2/run_record.json
tif012_b5_7200s	TIF012	aflplusplus_cmplog	7200	3	true	4950.0	7615	60.0	1	4950.0	1430122	7615	true	first_reach_snapshot_has_R_without_T	4890.0	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_cmplog_7200s_rep3/run_record.json
tif012_b5_7200s	TIF012	aflplusplus_vanilla	7200	1	true	930.0	28536	60.0	1	930.0	631531	28536	true	first_reach_snapshot_has_R_without_T	870.0	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_vanilla_7200s_rep1/run_record.json
tif012_b5_7200s	TIF012	aflplusplus_vanilla	7200	2	true	1410.0	9978	60.0	1	1410.0	986404	9978	true	first_reach_snapshot_has_R_without_T	1350.0	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_vanilla_7200s_rep2/run_record.json
tif012_b5_7200s	TIF012	aflplusplus_vanilla	7200	3	true	1560.0	84706	60.0	1	1560.0	860992	84706	true	first_reach_snapshot_has_R_without_T	1500.0	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/aflplusplus_vanilla_7200s_rep3/run_record.json
tif012_b5_7200s	TIF012	redqueen_operand	7200	1	true	6540.0	4170	60.0	1	6540.0	1665603	4170	true	first_reach_snapshot_has_R_without_T	6480.0	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/redqueen_operand_7200s_rep1/run_record.json
tif012_b5_7200s	TIF012	redqueen_operand	7200	2	false		0	60.0	1		1158381	0	true	first_reach_snapshot_has_R_without_T		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/redqueen_operand_7200s_rep2/run_record.json
tif012_b5_7200s	TIF012	redqueen_operand	7200	3	true	210.0	3841	60.0	1	210.0	1812906	3841	true	first_reach_snapshot_has_R_without_T	150.0	/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_matched_7200s_3rep_20260616T223012Z/baselines/runs/redqueen_operand_7200s_rep3/run_record.json
