arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	formtrig_2h	PNG006	7200	7200		true	17276659			29754905	4132.45	26319188	1	1	3844204	0	0	true	pass	artifacts/formtrig_native_readiness/raw/png006_2h_20260615T1250Z/gate_summary.csv
baseline	vanilla_2h	PNG006	7200	7197	1	false	0			16126501	2240.43	23144616						false		artifacts/formtrig_native_readiness/raw/png006_baselines_2h_vanilla_20260616T033317Z/aflplusplus_vanilla/run_record.json
