target_id	baseline	budget	rep	success	trigger_time_s	trigger_time_kind	run_time	execs_done	execs_per_sec	corpus_count	saved_crashes	saved_hangs	magma_reached	magma_triggered	magma_first_reach_time_s	magma_first_trigger_time_s	magma_snapshot_count
PDF003	aflplusplus_cmplog	600	1	false	NA	NA	577	82301	142.53	1322	0	16	41301	0	90	NA	18
PDF003	aflplusplus_vanilla	600	1	false	NA	NA	577	112842	195.40	1942	0	10	110824	0	90	NA	19
PDF003	redqueen_operand	600	1	false	NA	NA	577	101717	176.15	926	0	19	42444	0	90	NA	19
