arm	budget_s	reps	successes	success_rate	median_first_T_s	min_first_T_s	max_first_T_s	median_first_T_execs	trigger_time_s_values	trigger_exec_values	note
FORMTRIG b4 + path-hierarchy hook	60	3	3	1.000	1.326	1.196	2.000	32	1.196,2.000,1.326	32,32,32	matched 60s -t 5000+ repetitions
AFL++ vanilla	60	3	3	1.000	24.450	22.883	37.648	34379	22.883,24.450,37.648	34379,31216,50549	matched 60s -t 5000+ repetitions
AFL++ CmpLog	60	3	3	1.000	34.169	28.505	60.976	51119	34.169,28.505,60.976	51119,34515,71727	matched 60s -t 5000+ repetitions
AFL++ Redqueen/operand path	60	3	2	0.667	32.546	30.505	34.587	45157	34.587,30.505	47776,42539	matched 60s -t 5000+ repetitions
