rank,target_id,project,category,discovery_rank,readiness,priority,rnt_ready,binary_dt_gap,terminal_validated,validation_signal,binding_spec_present,binding_spec_validated,comparison_count,binding_validation_status,binding_spec_ready,tcir_ready,atom_ready,build_ready,poc_ready,harness_source_ready,seed_count,native_dt_values,source_locations,current_speedup_package,current_benefit,harness_admissibility_status,core_evidence_allowed,blockers,next_action
1,GPAC_3403,gpac,compound-sequence-lifecycle,4,short_gate_triaged,12,true,true,true,SUMMARY: AddressSanitizer: double-free (/home/cwh/FORMTRIG/benchmarks/cve_build/gpac-3403-src/bin/gcc/MP4Box+0x194f48a) (BuildId: da5c3e139317cf0e2b8580968246bc6803e86243) in free,true,true,1,native_binding_validated@artifacts/formtrig_native_readiness/binding_validation/GPAC_3403.binding_validation_60s_20260618.json; partial_mechanism_missing_role_coverage@artifacts/formtrig_native_readiness/binding_validation/GPAC_3403.native_b2_same_object_repair_60s_20260618.validation.json; native_site_map_validated@artifacts/formtrig_native_readiness/binding_validation/GPAC_3403.native_site_map_validation_20260618.json,true,true,true,true,true,false,1,1,src/utils/bitstream.c:372#gf_bs_del,,short-gate pre-screen: FORMTRIG pre-trigger lifted guidance with 2 accepted / 2 saved non-trigger progress events; ASAN AFL++ family valid baseline reps 8 with 0 endpoint successes,,true,,extend latest short-gate package to matched 10m/2h endpoint runs and repair any BindingSpec roles that stayed unobserved
2,LIBARCHIVE_2935,libarchive,numeric-margin,47,ready_for_binding_spec,20,true,true,true,SUMMARY: AddressSanitizer: heap-buffer-overflow (/home/cwh/FORMTRIG/benchmarks/cve_build/libarchive-a819-asan/libarchive_write_replay+0x191878) (BuildId: 8c400a70b41c909bb4562a98f2e8133b3820b542) in __asan_memmove,false,false,0,,false,true,true,true,true,true,1,1,libarchive/archive_write_set_format_iso9660.c:5913#idr_extend_identifier,,,,true,no executable BindingSpec candidate,draft BindingSpec from TCIR/atoms and validate static/dynamic binding signal
3,LIBARCHIVE_2937,libarchive,numeric-margin,48,ready_for_binding_spec,20,true,true,true,SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior /home/cwh/FORMTRIG/benchmarks/cve_build/libarchive-a819-src/libarchive/archive_write_set_format_iso9660.c:5634:8,false,false,0,,false,true,true,true,true,true,1,1,libarchive/archive_write_set_format_iso9660.c:5634#isoent_tree,,,,true,no executable BindingSpec candidate,draft BindingSpec from TCIR/atoms and validate static/dynamic binding signal
4,LIBARCHIVE_2938,libarchive,numeric-margin,49,ready_for_binding_spec,20,true,true,true,SUMMARY: AddressSanitizer: heap-buffer-overflow /home/cwh/FORMTRIG/benchmarks/cve_build/libarchive-a819-src/libarchive/archive_endian.h:140:7 in archive_be16enc,false,false,0,,false,true,true,true,true,true,1,1,libarchive/archive_write_set_format_iso9660.c:5969#idr_set_num_beutf16,,,,true,no executable BindingSpec candidate,draft BindingSpec from TCIR/atoms and validate static/dynamic binding signal
5,LIBARCHIVE_2925,libarchive,numeric-margin,50,ready_for_binding_spec,20,true,true,true,SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior /home/cwh/FORMTRIG/benchmarks/cve_build/libarchive-a819-src/libarchive/archive_write_set_format_zip.c:2306:29,false,false,0,,false,true,true,true,true,true,2,1,libarchive/archive_write_set_format_zip.c:2306#copy_path,,,,true,no executable BindingSpec candidate,draft BindingSpec from TCIR/atoms and validate static/dynamic binding signal
6,GPAC_3398,gpac,numeric-margin,46,not_ready,80,false,false,true,SUMMARY: AddressSanitizer: heap-buffer-overflow /home/cwh/FORMTRIG/benchmarks/cve_build/gpac-3398-src/src/isomedia/box_code_base.c:10568:12 in sgpd_del_entry,false,false,0,,false,false,false,true,true,false,0,,,,,,true,"no formal RNT seed with R=1,T=0; binary native D_T gap is not established; no executable BindingSpec candidate; no TCIR file; no atom file",collect formal RNT seed before spending fuzzing budget
7,LIBXML2_1107,libxml2,binary-state-null,3,control_or_negative,95,true,true,true,SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior /home/cwh/FORMTRIG/benchmarks/cve_build/libxml2-a7511af0-src/xmlregexp.c:740:20,true,false,0,,false,true,true,true,true,true,1,1,xmlregexp.c:740#xmlRegNewParserCtxt,,,inadmissible_core_evidence@artifacts/formtrig_native_readiness/raw/libxml2_1107_harness_admissibility_20260615.json,false,harness admissibility rejects core evidence: inadmissible_core_evidence@artifacts/formtrig_native_readiness/raw/libxml2_1107_harness_admissibility_20260615.json: Not admissible as core FORMTRIG R2T evidence because the harness exposes an artificial trigger-control knob.; BindingSpec candidate is not native-site-map validated,keep as control/sanity evidence; do not spend main real-CVE long-run budget
8,LIBARCHIVE_2936,libarchive,binary-state-null,139,control_or_negative,95,true,true,true,SUMMARY: UndefinedBehaviorSanitizer: undefined-behavior /home/cwh/FORMTRIG/benchmarks/cve_build/libarchive-a819-src/libarchive/archive_write_set_format_iso9660.c:6823:45,true,true,6,native_binding_validated@artifacts/formtrig_native_readiness/binding_validation/LIBARCHIVE_2936.native_b2_path_table_candidate.validation.json,true,true,true,true,true,true,1,1,libarchive/archive_write_set_format_iso9660.c:6823#_compare_path_table,artifacts/formtrig_native_readiness/comparisons/libarchive_2936_b4_path_hierarchy_hook_60s_20260616/comparison.json,replicated 60s first-_T speedup: FORMTRIG median 1.326s versus fastest baseline median 24.45s; 18.44x wall-clock and 1074.34x execution speedup by median; matched 10m confirmation: FORMTRIG 1.22s / exec 32 versus fastest baseline 20.671s / exec 28677,admissible@artifacts/formtrig_native_readiness/comparisons/libarchive_2936_matched_7200s_3rep_20260617/harness_admissibility.json,true,existing discovery triage demotes this target: demote_to_control_or_negative,keep as control/sanity evidence; do not spend main real-CVE long-run budget
