suite,run,status,reasons,budget,run_time,execs_done,execs_per_sec,reached,terminal_triggered,first_terminal_time_s,first_terminal_time_kind,first_terminal_execs,queued_progress,accepted_non_trigger,saved_non_trigger,saved_triggered,spec_lifted,heuristic_lifted,manual_lifted,experiment_ready,pretrigger_lift_guidance_ready,non_trigger_candidate_lift_delta,lift_delta_only_on_triggered,binding_signal_status,binding_signal_diagnosis,out_dir
"GPAC_3403_formtrig_nohook_typedops64_60s","formtrig_nohook_rep1","pass","ok",60,60,1899,31.49,1896,4,"29.633","afl_crash_filename_exact","720",17,17,17,0,1233,0,0,"true","true","true","false","pass","role_signal_progress_observed","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/runs/formtrig_nohook_rep1/fuzzer_out/default"
"GPAC_3403_formtrig_nohook_typedops64_60s","formtrig_nohook_rep2","pass","ok",60,60,2118,35.28,2118,1,"49.938","afl_crash_filename_exact","1801",14,14,14,0,1551,0,0,"true","true","true","false","pass","role_signal_progress_observed","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/runs/formtrig_nohook_rep2/fuzzer_out/default"
"GPAC_3403_formtrig_nohook_typedops64_60s","formtrig_nohook_rep3","pass","ok",60,60,1622,27.00,1623,0,"","","",14,14,14,0,1020,0,0,"true","true","true","false","pass","role_signal_progress_observed","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/gpac3403_b13_scal_ref_payload_matched_screen_60s3rep_20260620T032730Z/runs/formtrig_nohook_rep3/fuzzer_out/default"
