target_id,arm,baseline,budget,run_time,success,terminal_count,trigger_time_s,execs_done,execs_per_sec,corpus_count,corpus_found,edges_found,bitmap_cvg,saved_crashes,saved_hangs,reached,triggered,spec_lifted,accepted_non_trigger,typed_execs,typed_finds,binding_signal_status,binding_signal_diagnosis,progress_status,limiting_reason,d_f_min,d_f_max,d_f_spec_lifted_min,d_f_spec_lifted_max,source_path
LIBARCHIVE_2936,formtrig,,600,600,False,0,,393966,656.61,794,793,5117,19.18%,0,62,108141,0,4182,0,5632,8,fail,constant_lift_signal,not_progressing,typed_mutation_no_lift_delta,2,2,2,2,artifacts/formtrig_native_readiness/raw/libarchive_2936_formtrig_short_10m_20260616T093018Z/default/formtrig_summary.json
LIBARCHIVE_2936,baseline,aflplusplus_vanilla,600,600,False,0,,531892,886.48,852,851,1648,20.49%,0,59,0,,,,,,,,,,,,,,artifacts/formtrig_native_readiness/raw/libarchive_2936_baselines_10m_20260616T094213Z/aflplusplus_vanilla_600s/run_record.json
LIBARCHIVE_2936,baseline,aflplusplus_cmplog,600,600,False,0,,608906,1014.83,797,796,1695,21.08%,0,56,0,,,,,,,,,,,,,,artifacts/formtrig_native_readiness/raw/libarchive_2936_baselines_10m_20260616T094213Z/aflplusplus_cmplog_600s/run_record.json
