target_id	baseline	budget	rep	success	trigger_time_s	trigger_time_kind	run_time	execs_done	execs_per_sec	corpus_count	saved_crashes	saved_hangs	magma_reached	magma_triggered	magma_first_reach_time_s	magma_first_trigger_time_s	magma_snapshot_count
TIF012	aflplusplus_cmplog	7200	1	false	NA	NA	7197	13604237	1890.04	2443	0	3	1395259	0	60	NA	240
TIF012	aflplusplus_cmplog	7200	2	false	NA	NA	7197	14093676	1958.07	1170	0	5	1379967	0	60	NA	239
TIF012	aflplusplus_cmplog	7200	3	true	4950	magma_monitor_upper_bound	7197	13720913	1906.28	1654	0	0	1430122	7615	60	4950	229
TIF012	aflplusplus_vanilla	7200	1	true	930	magma_monitor_upper_bound	7197	13737357	1908.54	2018	0	11	631531	28536	60	930	240
TIF012	aflplusplus_vanilla	7200	2	true	1410	magma_monitor_upper_bound	7197	13626297	1893.11	2127	0	3	986404	9978	60	1410	240
TIF012	aflplusplus_vanilla	7200	3	true	1560	magma_monitor_upper_bound	7197	14179337	1969.98	2380	0	0	860992	84706	60	1560	240
TIF012	redqueen_operand	7200	1	true	6540	magma_monitor_upper_bound	7197	13584930	1887.36	2281	0	1	1665603	4170	60	6540	239
TIF012	redqueen_operand	7200	2	false	NA	NA	7197	14056195	1952.86	2323	0	3	1158381	0	60	NA	240
TIF012	redqueen_operand	7200	3	true	210	magma_monitor_upper_bound	7197	13901631	1931.35	2367	0	0	1812906	3841	60	210	240
