arm	source_label	target_id	budget	run_time	rep	success	terminal_count	trigger_time_s	trigger_time_kind	trigger_execs	execs_done	execs_per_sec	reached	accepted_non_trigger	saved_non_trigger	spec_lifted	heuristic_lifted	manual_lifted	strict_pretrigger_guidance	binding_signal_status	source_path
formtrig	php009_formtrig_600s	PHP009	600	600		true	37120	87.04	formtrig_progress_queue_filename_exact	36989	243121	405.18	54959	4	4	12362	0	0	true	pass	artifacts/formtrig_native_readiness/gates/php009_validated_short_600s_1rep_20260617/gate_summary.csv
baseline	aflpp_family_600s_1rep	PHP009	600	596	1	true	9	300	magma_monitor_upper_bound		177556	297.49	396559						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php009_validated_short_600s_1rep_baselines/runs/aflplusplus_cmplog_600s/run_record.json
baseline	aflpp_family_600s_1rep	PHP009	600	596	1	true	43	270	magma_monitor_upper_bound		169034	283.21	85024						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php009_validated_short_600s_1rep_baselines/runs/aflplusplus_vanilla_600s/run_record.json
baseline	aflpp_family_600s_1rep	PHP009	600	596	1	true	20	120	magma_monitor_upper_bound		175503	294.03	280521						false		/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/php009_validated_short_600s_1rep_baselines/runs/redqueen_operand_600s/run_record.json
