manifest,target_id,status,experiment_ready,pretrigger_lift_guidance_ready,diagnosis,progress_status,has_non_trigger_progress,non_trigger_progress,saved_non_trigger_progress,saved_triggered_progress,execs_done,reached,triggered,queued_progress,spec_lifted,heuristic_lifted,manual_lifted,d_f_constant,out_dir,log
"/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/manifests/TIF012.native_draft_magma_canary.hook_b5.final_30s.manifest","TIF012","ok","true","true","triggered","triggered","true",6,6,1210,34175,19422,10870,1216,6245,0,0,"false","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_formtrig_120s_3rep_20260616/001_TIF012/out","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_formtrig_120s_3rep_20260616/001_TIF012/batch_run.log"
"/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/manifests/TIF012.native_draft_magma_canary.hook_b5.final_30s.manifest","TIF012","ok","true","true","triggered","triggered","true",8,8,887,49100,19919,7971,895,5615,0,0,"false","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_formtrig_120s_3rep_20260616/002_TIF012/out","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_formtrig_120s_3rep_20260616/002_TIF012/batch_run.log"
"/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/manifests/TIF012.native_draft_magma_canary.hook_b5.final_30s.manifest","TIF012","ok","true","true","triggered","triggered","true",3,3,512,59682,20142,4604,515,4616,0,0,"false","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_formtrig_120s_3rep_20260616/003_TIF012/out","/home/cwh/FORMTRIG/artifacts/formtrig_native_readiness/raw/tif012_b5_formtrig_120s_3rep_20260616/003_TIF012/batch_run.log"
